,amp,X,Y,R
0,691,0.00041601371640623334,0.0005029750543979115,0.0006287576236255033
1,766,4.79560392277303e-07,1.6592257710742635e-06,1.6683090913267671e-06
2,842,4.248837156082793e-07,1.621479809127673e-06,1.6243980029406426e-06
3,918,4.0107282964239955e-07,1.6745509918390298e-06,1.6835649173834507e-06
4,993,4.790296663489188e-07,1.4545266397978716e-06,1.4459635082509007e-06
5,1069,5.068073976162451e-07,1.215216363667441e-06,1.2141805159632525e-06
6,1145,4.5989570416714926e-07,1.6344828249472716e-06,1.6404964361447664e-06
7,1221,3.9948454094209766e-07,1.5340614529611946e-06,1.5364330400002537e-06
8,1296,6.869382945996871e-07,1.6948562662391016e-06,1.7074715478858361e-06
9,1372,1.5937612171049327e-06,1.745634648698506e-06,1.7953032912431842e-06
10,1448,7.43472319151415e-07,1.3714865567903786e-06,1.3919013891962127e-06
11,1524,5.324720150063112e-07,1.682234424734872e-06,1.6776141303108135e-06
12,1599,5.509155782046454e-07,1.4698716892645271e-06,1.4568329458490492e-06
13,1675,4.40404921985514e-07,1.7363789576585857e-06,1.7385076587993475e-06
14,1751,5.791302126628813e-07,1.6412027186579032e-06,1.6344304344597952e-06
15,1827,5.882516439900996e-07,1.8451706402140312e-06,1.8308022960480231e-06
16,1902,6.318145765222689e-07,1.5923875876076413e-06,1.584597926718395e-06
17,1978,5.209497101268599e-07,1.575238223463735e-06,1.5689260302420095e-06
18,2054,4.686244385719183e-07,1.2431082754635535e-06,1.2457517248121909e-06
19,2130,1.4535147172084422e-06,1.5134616990198884e-06,1.533092364218365e-06
20,2205,1.0766735622593414e-06,1.4603671969167542e-06,1.4811782714628554e-06
21,2281,1.5785825151162695e-06,1.7297473304207402e-06,1.7718426473899983e-06
22,2357,8.993017568242558e-07,1.3974322632542731e-06,1.3854028661401803e-06
23,2433,2.3547935732255337e-06,2.346450911334908e-06,2.4754055633354877e-06
24,2508,7.773131284723598e-07,1.515461309529143e-06,1.4930756816386354e-06
25,2584,8.918862703261339e-07,1.474493625841766e-06,1.4670815406221098e-06
26,2660,7.839395397147374e-07,2.829929797897415e-06,2.8245219495974273e-06
27,2736,5.013044742161231e-07,2.55493236208174e-06,2.5430299424897553e-06
28,2811,4.1234009040422303e-07,1.7564937660895567e-06,1.7514404529596732e-06
29,2887,4.7167728064781385e-07,1.5768206843728996e-06,1.5781988807096139e-06
30,2963,4.4487391164438813e-07,2.899021641725778e-06,2.891148496239249e-06
31,3039,6.335441032257779e-07,2.761269749906959e-06,2.742038070113367e-06
32,3114,5.998241397226463e-07,2.61113594817003e-06,2.614897286354052e-06
33,3190,4.626069272517151e-07,1.8112103923005092e-06,1.8130719070928438e-06
34,3266,4.872915753646445e-07,1.8890835307729294e-06,1.8876413109926998e-06
35,3342,5.781945486509326e-07,2.745596204604545e-06,2.7603903266447354e-06
36,3417,5.535019025317929e-07,1.6537120446879697e-06,1.6694254667683011e-06
37,3493,4.897351355717813e-07,1.6226196214164332e-06,1.6243036588457482e-06
38,3569,8.953028360258978e-07,2.9034064886276525e-06,2.849703797612234e-06
39,3645,4.1062366127132985e-07,3.1528589436630995e-06,3.1501977038056352e-06
40,3720,7.67373401278553e-07,3.6793680238736154e-06,3.713963992663655e-06
41,3796,6.536974845340345e-07,3.264479519362979e-06,3.2938035102443097e-06
42,3872,7.493370681229183e-07,3.214423617975585e-06,3.2492197848166905e-06
43,3948,5.526221745729093e-07,2.262445340543189e-06,2.2738166013679004e-06
44,4023,5.601872706184752e-07,1.855806097675453e-06,1.8704620258971239e-06
45,4099,4.810693058407606e-07,1.9261528466661327e-06,1.9292861158946295e-06
46,4175,6.103829938275823e-07,3.1262385605534237e-06,3.1500003806313386e-06
47,4251,7.629776363950693e-07,2.996200399934862e-06,3.0205222140249824e-06
48,4326,8.834092053249515e-07,3.7179320621106975e-06,3.760658302991476e-06
49,4402,9.471436875721821e-07,4.643484884052137e-06,4.69873262600347e-06
50,4478,6.62041000659036e-07,2.463559980621307e-06,2.4837384534634487e-06
51,4554,4.355072829952618e-07,3.201468620438986e-06,3.204644233110329e-06
52,4629,6.501801313468143e-07,2.6812071386097393e-06,2.698746622450268e-06
53,4705,5.615453514974959e-07,2.5324561633414862e-06,2.5541995543787875e-06
54,4781,5.070250110181985e-07,1.7498221358450732e-06,1.760264840830481e-06
55,4857,9.052209031515491e-07,4.406226388569917e-06,4.452073787992632e-06
56,4932,5.370295801277575e-07,1.3541906387302043e-06,1.370847526853312e-06
57,5008,4.387177194371883e-07,2.1475826471326706e-06,2.1398723644546205e-06
58,5084,7.200685149514121e-07,3.652375905921217e-06,3.6832170716496526e-06
59,5160,6.270167827515091e-07,2.3128583020736885e-06,2.329802878870961e-06
60,5235,8.461760542732541e-07,3.9283157758591695e-06,3.9749152390532536e-06
61,5311,5.482344373641571e-07,2.2530312101621304e-06,2.2498652063292375e-06
62,5387,6.526270398797068e-07,3.1331414971642615e-06,3.1645401228852706e-06
63,5463,8.980060389611748e-07,2.945469469745981e-06,2.997351222805479e-06
64,5538,5.091576545060208e-07,3.7930196755878996e-06,3.78714756765486e-06
65,5614,6.065079408285192e-07,1.973839017757288e-06,1.9638410260816384e-06
66,5690,6.419107545517275e-07,3.000772503027962e-06,2.964965688399864e-06
67,5766,5.27981092538785e-07,3.3694825697256017e-06,3.387104916736831e-06
68,5841,7.267896216278439e-07,2.005824712692265e-06,2.0272484716370365e-06
69,5917,6.299745714843717e-07,2.092249029663759e-06,2.1191243601382176e-06
70,5993,5.609968774493404e-07,3.249013922347235e-06,3.214188133559393e-06
71,6069,1.0561261884346396e-06,3.839442157257431e-06,3.803560247972594e-06
72,6144,8.622423240809382e-07,3.3901738689870473e-06,3.406311567971027e-06
73,6220,6.49445601288258e-07,2.655804993998769e-06,2.6800789333034323e-06
74,6296,6.346470153616882e-07,1.432632200509791e-06,1.423839927606113e-06
75,6372,4.7040263589384984e-07,5.097934220496767e-06,5.087254940166709e-06
76,6447,7.574678704634242e-07,4.009712860903988e-06,4.051055202147781e-06
77,6523,7.73616627039522e-07,2.9937891173408755e-06,3.039311431005804e-06
78,6599,1.2481468793759434e-06,6.162608248066501e-06,6.243649712784297e-06
79,6675,8.800528410635242e-07,2.5486836681853692e-06,2.597661147947172e-06
80,6750,8.702806806182679e-07,4.230345300107092e-06,4.282333621024546e-06
81,6826,9.212140334198151e-07,3.1919942918858663e-06,3.2507353398745963e-06
82,6902,6.563995164499141e-07,2.3942059568051716e-06,2.421586422034304e-06
83,6978,8.655979749053829e-07,4.229322993958946e-06,4.27985080593825e-06
84,7053,7.503427007839166e-07,1.5518617283785898e-06,1.5792077357571425e-06
85,7129,7.938110250082496e-07,3.6422074537502297e-06,3.6835109369549947e-06
86,7205,8.164313445823537e-07,2.2646448087002877e-06,2.303504791794899e-06
87,7281,7.102940743693053e-07,1.853761948064897e-06,1.8850185347689056e-06
88,7356,8.303787025335868e-07,2.1557010904801295e-06,2.1960063919322265e-06
89,7432,6.525494623722424e-07,1.950020952752156e-06,1.9764167035541323e-06
90,7508,7.25580979820481e-07,3.3199335554054806e-06,3.3563351456383976e-06
91,7584,9.459157596465937e-07,2.5201906042665272e-06,2.4642294986898373e-06
92,7659,6.928026602077927e-07,1.9281618924391072e-06,1.9472741278925976e-06
93,7735,7.309473877386648e-07,2.808752187156401e-06,2.8531324550811004e-06
94,7811,7.59181391263272e-07,1.984594716496998e-06,2.015806835882965e-06
95,7887,7.087681518641476e-07,2.967950967092682e-06,3.0028577388203483e-06
96,7962,1.0763054163416996e-06,4.333642628648936e-06,4.379434921600975e-06
97,8038,1.1140379180386022e-06,3.576610271658596e-06,3.5013617297743334e-06
98,8114,7.203090002269961e-07,3.4891813221842942e-06,3.511760582875752e-06
99,8190,1.1315272670996858e-06,2.174693986345418e-06,2.1728119235406373e-06
