,frec,X,Y,R
0,1238,5.580639844978284e-06,5.6762142261920415e-06,5.700160442030474e-06
1,1199,4.904555980667511e-06,4.92623442881886e-06,4.897897466275845e-06
2,1160,4.899258843950809e-06,4.690576187788198e-06,4.883948770731709e-06
3,1123,4.552901132557636e-06,4.450820391142928e-06,4.560028630825599e-06
4,1086,4.005547433851076e-06,4.2453195994647605e-06,3.984109405775825e-06
5,1051,3.884426788692546e-06,3.997418063649073e-06,3.903829759586831e-06
6,1018,5.673501230889035e-06,4.913093545420647e-06,5.659832588886724e-06
7,985,1.8196886796658675e-05,1.7834581005055335e-05,1.7762739588328433e-05
8,953,3.886848820546352e-06,3.4621934488000294e-06,3.87528892078611e-06
9,922,3.258089277504423e-06,2.97584514771267e-06,3.2427592146830814e-06
10,893,3.2572656817411793e-06,2.975309299445513e-06,3.251930213743235e-06
11,864,2.859712029672179e-06,2.83870955125939e-06,2.855251473134754e-06
12,836,2.383224472313749e-06,2.7229559184702684e-06,2.3768573122752016e-06
13,809,2.4853564516825485e-06,2.3829489718538803e-06,2.486515265801385e-06
14,783,2.154488522690325e-06,2.425555708996646e-06,2.149375823397056e-06
15,758,2.384146675146616e-06,2.081427906387148e-06,2.380523667491817e-06
16,733,2.160565275166076e-06,2.2739386807498106e-06,2.1601460164110244e-06
17,710,1.973612667300967e-06,2.0597932844947633e-06,1.963343127255881e-06
18,687,1.8803423354524701e-06,1.9937770605436474e-06,1.884465960464442e-06
19,665,1.584511988936635e-06,1.7550911281375638e-06,1.5841241862429325e-06
20,643,1.5630482525398438e-06,1.7827170334551101e-06,1.567506467972192e-06
21,623,1.5995180457898502e-06,1.6090360796422035e-06,1.5952061480979037e-06
22,603,1.617239548330213e-06,1.4142104806910974e-06,1.6124803751134604e-06
23,583,1.4613876238526689e-06,1.5000596872456652e-06,1.46158806772501e-06
24,564,1.5807372051390315e-06,1.2944882905484324e-06,1.5809285274782405e-06
25,546,1.4624821611327821e-06,1.5246065383713288e-06,1.4645478826904072e-06
26,529,1.2410155110230407e-06,1.3879180554020658e-06,1.236499385753738e-06
27,512,1.4386752502023478e-06,1.2742423376971439e-06,1.4418338462755848e-06
28,495,1.176674795728255e-06,1.3026716138028385e-06,1.173977253781651e-06
29,479,1.2513676844525224e-06,1.0297190165386657e-06,1.251596708711671e-06
30,464,1.1344159183791038e-06,1.2034300295266122e-06,1.1347314509680685e-06
31,449,1.061253293557099e-06,1.0100657340693922e-06,1.0629201447523504e-06
32,434,1.0492252872038613e-06,1.0130994301116922e-06,1.0448273458617848e-06
33,420,1.0347028132923786e-06,1.038819188525357e-06,1.0344624303675582e-06
34,407,8.215725731308092e-07,1.0977738749273863e-06,8.219547470628756e-07
35,394,1.0231135105412846e-06,8.546605656735151e-07,1.0231457923477734e-06
36,381,1.1038694924649188e-06,9.475368958337589e-07,1.1064777202277699e-06
37,369,8.899025364371217e-07,9.602868784807418e-07,8.912072890417952e-07
38,357,9.080608690940975e-07,8.112126461550669e-07,9.072387583162343e-07
39,345,7.982127981660541e-07,7.239066925807915e-07,7.989094206772229e-07
40,334,9.74585884751029e-07,9.909216174347361e-07,9.707865600531973e-07
41,323,7.068806809774147e-07,8.858453455812606e-07,7.021728158424364e-07
42,313,6.959564005124312e-07,7.425836960706673e-07,6.942683779029279e-07
43,303,8.379183566441041e-07,7.659370795178457e-07,8.3859893349451e-07
44,293,6.745547474312538e-07,6.816069340209015e-07,6.746285389369519e-07
45,284,7.584456255600597e-07,7.212664452698662e-07,7.558837433816697e-07
46,274,1.8968721912062396e-06,1.3008109810063286e-06,1.882406723548571e-06
47,266,6.452568260793357e-07,7.888773250829384e-07,6.450282952903065e-07
48,257,6.716412073277271e-07,6.891686367897497e-07,6.729391810376969e-07
49,249,6.301764316572938e-07,6.226514707268063e-07,6.327693009012635e-07
50,241,6.396208840481046e-07,7.58578645275588e-07,6.423761345957028e-07
51,233,5.42126771632874e-07,6.202489807740301e-07,5.395446358584891e-07
52,225,5.422830450637021e-07,6.653373645906476e-07,5.390656835898446e-07
53,218,5.498957326494342e-07,6.671716988387946e-07,5.484164832587557e-07
54,211,5.837775186380043e-07,5.430424758129357e-07,5.834295840137086e-07
55,204,5.65376369731637e-07,5.744388169962378e-07,5.675921317286547e-07
56,198,6.779844286799311e-07,6.196876806436821e-07,6.787529600800501e-07
57,191,5.758203567959062e-07,5.553601804595093e-07,5.769644225837855e-07
58,185,5.454717365071943e-07,6.000441360602966e-07,5.434657845108025e-07
59,179,4.881977003065896e-07,5.548151970706273e-07,4.875840405867009e-07
60,173,4.383187140093447e-07,5.500123359978961e-07,4.3951065488832574e-07
61,168,5.061396068221761e-07,6.019688466756254e-07,5.041132994130684e-07
62,162,5.014787825841695e-07,4.987519935708384e-07,5.04855926556686e-07
63,157,5.11654755872172e-07,5.44494220810379e-07,5.176108941318608e-07
64,152,5.114425856348268e-07,5.844915469353922e-07,5.056982867698275e-07
65,147,4.452474943917311e-07,5.420323960494731e-07,4.4491576713988467e-07
66,142,4.7263288750755787e-07,5.600477290027248e-07,4.7085044953842025e-07
67,138,5.504049234274752e-07,4.820873634492614e-07,5.492936385469355e-07
68,133,5.0930276852881e-07,4.4559206200735105e-07,5.120561865884671e-07
69,129,5.672342653286015e-07,4.267771649560279e-07,5.640483067876857e-07
70,125,6.512720542674013e-07,4.0750750159962025e-07,6.526596273421439e-07
71,121,4.683495411390222e-07,4.632546461831281e-07,4.6870095273260316e-07
72,117,4.1490099219118724e-07,5.466574608144453e-07,4.1885731447290064e-07
73,113,3.995307831368917e-07,4.364635327748809e-07,4.010102078630586e-07
74,109,4.5894957203836196e-07,4.917784154323915e-07,4.6368997440040005e-07
75,106,3.9140968350656154e-07,3.808620201857267e-07,3.9282289584043166e-07
76,102,4.640886693059097e-07,4.644494739775694e-07,4.6581448003415095e-07
77,99,4.553420365997381e-07,4.0250174128610864e-07,4.5513342164195457e-07
78,96,4.784898132688835e-07,4.169343836908975e-07,4.810525610780706e-07
79,93,4.3051061343611033e-07,4.2668725070295057e-07,4.2664039087111716e-07
80,90,4.570553186578944e-07,4.647094774245511e-07,4.5903892986858373e-07
81,87,4.0677233387373664e-07,3.9323303287129845e-07,4.1033584909829e-07
82,84,4.6015828063999514e-07,4.317693160821061e-07,4.591109845511771e-07
83,81,4.140781475698783e-07,3.9449945518614706e-07,4.1554472058637073e-07
84,79,3.614317732271563e-07,4.0171231223843245e-07,3.6511778284493737e-07
85,76,4.0516912186539356e-07,3.9591126216448816e-07,4.027993785206676e-07
86,74,3.523658024442659e-07,3.6044353481706865e-07,3.4862217715392687e-07
87,71,4.2678715425927924e-07,4.4406820442825306e-07,4.2398094162552916e-07
88,69,3.8524110106119813e-07,4.087727213579593e-07,3.9192860073347806e-07
89,67,3.835335425259797e-07,3.949787135390452e-07,3.8337633143672755e-07
90,65,3.574172035266866e-07,3.9244306473866147e-07,3.617990685997629e-07
91,63,4.4921502307455e-07,3.384368316311452e-07,4.4912839048564e-07
92,61,3.678065422838982e-07,3.5261374369866587e-07,3.6171186907024797e-07
93,59,3.4392396536242714e-07,4.0943618840609653e-07,3.482096054205759e-07
94,57,2.6815466592793445e-07,3.8254667789915354e-07,2.725354612998037e-07
95,55,3.4971015797879947e-07,3.6379884269706375e-07,3.483448878476019e-07
96,53,1.253695681254354e-06,3.2823223117328543e-07,1.2432351883652238e-06
97,51,3.666238045358897e-07,3.699216192581425e-07,3.6717840794912014e-07
98,50,4.1225736870543603e-07,3.576571730687404e-07,4.059503068744555e-07
99,48,1.0559041470189793e-06,3.584271677907142e-07,1.0419610679854905e-06
100,46,3.3506081873310076e-07,2.753295904779825e-07,3.3127004340723007e-07
101,45,3.6634849517285374e-07,4.0615393955929614e-07,3.630355861384818e-07
102,43,3.867285133111245e-07,3.194781159166109e-07,3.7336130575970954e-07
103,42,3.0168371476124356e-07,3.392227008691788e-07,2.947893684263042e-07
104,41,3.6552521072490997e-07,4.5155937590370936e-07,3.531684179656643e-07
105,39,3.5622390698552e-07,3.576358158500126e-07,3.460410889215963e-07
106,38,3.5354951136926397e-07,3.0741843119946473e-07,3.442449199682967e-07
107,37,3.292696745941278e-07,3.9311014274512974e-07,3.1395784880350034e-07
108,36,3.334340513400138e-07,3.210162520072136e-07,3.3329569923465895e-07
109,34,3.8589761290538367e-07,4.1678055057776365e-07,3.6469545347065635e-07
110,33,3.8355206830004533e-07,4.366588436055223e-07,3.6712697037268306e-07
111,32,3.123897572180684e-07,2.4628405532946876e-07,3.044611389869812e-07
112,31,3.5581726453786105e-07,4.300511263195174e-07,3.311523705576462e-07
113,30,2.711192468534508e-07,3.2992072747816537e-07,2.636845848241799e-07
114,29,2.6795519807831727e-07,3.6652301102093335e-07,2.7542285052394533e-07
115,28,3.0106895508412096e-07,3.2176793363086344e-07,3.027426997779185e-07
116,27,2.9369791799705466e-07,3.524121787027747e-07,2.781824188487313e-07
117,26,2.986043985360287e-07,3.946867277109846e-07,2.8443404132280283e-07
118,25,3.1214628664988314e-07,3.558846545973428e-07,2.998838763596052e-07
119,24,3.3677995704476514e-07,3.45417016233081e-07,3.216665559377798e-07
120,23,3.998401124775033e-07,3.402851042941971e-07,3.8648120274154253e-07
121,22,4.177477754431821e-07,3.679470566737694e-07,3.946188039931918e-07
122,21,4.5335435440778007e-07,3.6073566182535417e-07,4.325611077907179e-07
123,20,4.1674304248485106e-07,3.4975485482539104e-07,3.896562797260003e-07
124,19,4.4135619516285415e-07,4.0900210391712236e-07,4.1074296992513744e-07
125,18,3.7084005860216404e-07,3.8072393948248175e-07,3.4951691417296826e-07
126,17,3.312747655146398e-07,3.53603770196496e-07,3.075867399460064e-07
127,16,3.4607875494631846e-07,3.5891697924911015e-07,3.137816100056336e-07
128,15,3.042027441502723e-07,2.823895464832014e-07,2.922994327205372e-07
129,14,3.5082992143464056e-07,3.326686822953238e-07,3.282434632974423e-07
130,13,3.1659213412811004e-07,3.639965423623064e-07,3.023780998163749e-07
131,12,2.7937734059471516e-07,3.1657810664604437e-07,2.674387295477519e-07
132,11,3.094686703218809e-07,3.1831112615477135e-07,3.0732333283804497e-07
133,10,3.6118644255502504e-07,2.7375278458720725e-07,3.4683936008886335e-07
134,9,4.105786684347012e-07,2.939294744827451e-07,3.986311347188848e-07
135,8,4.5665522013431633e-07,2.672681842483957e-07,4.5914652368419745e-07
136,7,3.6265887606564176e-07,2.405333605357769e-07,3.6894806616053435e-07
137,6,8.145362358520298e-07,3.840641878885815e-06,6.128308251135513e-07
138,5,3.531400106813513e-06,3.033852471723644e-06,2.5422909943792598e-06
139,4,1.3234776174811343e-06,5.486334775031706e-07,1.2635486535992161e-06
140,3,1.4432906275446456e-06,7.555217307843667e-07,1.467098167511154e-06
141,2,1.5064218784079792e-06,2.4664579899479637e-06,2.339914889727672e-06
142,1,2.75128603267821e-06,1.5586507479589437e-06,1.2914155408023417e-06
