,frecs,X,Y
0,1238,-0.00010150671005249023,-0.026512205600738525
1,1050,-8.678436279296875e-05,-0.0312691330909729
2,890,-7.528066635131836e-05,-0.036938250064849854
3,755,-6.628036499023438e-05,-0.04367184638977051
4,640,-5.829334259033203e-05,-0.05180203914642334
5,543,-5.054473876953125e-05,-0.061672866344451904
6,460,-4.500150680541992e-05,-0.0740235447883606
7,390,-3.933906555175781e-05,-0.08963882923126221
8,331,-3.2067298889160156e-05,-0.11006033420562744
9,280,-2.092123031616211e-05,-0.13687419891357422
10,238,-3.933906555175781e-06,-0.13689541816711426
11,201,-1.7881393432617188e-07,-4.845857620239258e-05
12,171,-3.2782554626464844e-06,-3.2782554626464844e-06
13,145,-5.960464477539062e-07,-0.0006960034370422363
14,123,-7.808208465576172e-06,-0.0541653037071228
15,104,-1.0192394256591797e-05,-0.09389179944992065
16,88,-9.47713851928711e-06,-0.1252356767654419
17,75,-7.867813110351562e-06,-0.1503273844718933
18,63,-5.9604644775390625e-06,-0.17305493354797363
19,53,-4.231929779052734e-06,-0.19054090976715088
20,45,-2.86102294921875e-06,-0.20185285806655884
21,38,-1.8477439880371094e-06,-0.20754045248031616
22,32,-1.0728836059570312e-06,-0.2068200707435608
23,27,-6.556510925292969e-07,-0.20005154609680176
24,23,-3.5762786865234375e-07,-0.1888635754585266
25,20,-2.384185791015625e-07,-0.1760748028755188
26,16,-1.1920928955078125e-07,-0.15150511264801025
27,14,-5.960464477539063e-08,-0.1352871060371399
28,12,-5.960464477539063e-08,-0.11586219072341919
29,10,-5.960464477539063e-08,-0.09263533353805542
30,8,-5.960464477539063e-08,-0.06478643417358398
31,7,-5.960464477539063e-08,-0.04820054769515991
32,6,-5.960464477539063e-08,-0.029974162578582764
33,5,-5.960464477539063e-08,-0.010345399379730225
34,4,-5.960464477539063e-08,-4.291534423828125e-06
35,3,-5.960464477539063e-08,-2.6226043701171875e-06
36,2,-5.960464477539063e-08,-1.4901161193847656e-06
37,1,-5.960464477539063e-08,-5.364418029785156e-07
